id	type	heading	synonyms
CHEMBL1075341	Organism	Streptococcus dysgalactiae	
CHEMBL1075342	Organism	Agrostis stolonifera	
CHEMBL1075343	Organism	Arthrobacter aurescens	
CHEMBL1075344	Organism	Aspergillus ficuum	
CHEMBL1075345	Organism	Brontispa longissima	
CHEMBL1075346	Organism	Entamoeba invadens	
CHEMBL1075347	Organism	Glomerella	
CHEMBL1075348	Organism	Helicoverpa armigera	
CHEMBL1075349	Organism	Kocuria rhizophila	
CHEMBL1075350	Organism	Kocuria sp. 10-4DEP	
CHEMBL1075351	Organism	Microdochium nivale	
CHEMBL1075352	Organism	Oceanobacillus iheyensis	
CHEMBL1075353	Organism	Ochrobactrum pseudogrignonense	
CHEMBL1075354	Organism	Parabodo caudatus	
CHEMBL1075355	Organism	Phytophthora sojae	
CHEMBL1075356	Organism	Pseudomonas agarici	
CHEMBL1075357	Organism	Pythium debaryanum	
CHEMBL1075358	Organism	Saprolegnia parasitica	
CHEMBL1075359	Organism	Stenotrophomonas	
CHEMBL1075360	Organism	Streptococcus minor	
CHEMBL1075361	Organism	Trichophyton longifusum	
CHEMBL1075362	Organism	Trypanosoma evansi	
CHEMBL1075363	Organism	Uromyces viciae-fabae	
CHEMBL1075364	Organism	Brucella suis	
CHEMBL1169591	Organism	Brevibacterium epidermidis	
CHEMBL1169592	Organism	Dermabacter hominis	
CHEMBL2093135	Organism	Onchocerca ochengi	
CHEMBL2093136	Organism	Onchocerca lienalis	
CHEMBL2111188	Organism	Mycobacterium tuberculosis H37Rv	
CHEMBL2366621	Organism	Cardamine hirsuta	
CHEMBL2366622	Organism	Curculionidae	
CHEMBL2366623	Organism	Alticini	
CHEMBL2366624	Organism	Pythium irregulare	
CHEMBL2366625	Organism	Cyclamen persicum	
CHEMBL2366626	Organism	Trianthema	
CHEMBL2366627	Organism	Thysanoptera	
CHEMBL2366628	Organism	Aleyrodidae	
CHEMBL2366629	Organism	Cydia pomonella	
CHEMBL2366630	Organism	Verticillium dahliae	
CHEMBL2366631	Organism	Typhlodromus pyri	
CHEMBL2366632	Organism	Monilinia fructicola	
CHEMBL2366633	Organism	Urochloa platyphylla	
CHEMBL2366634	Organism	Mycobacterium tuberculosis H37Ra	
CHEMBL2366635	Organism	Heterodera zeae	
CHEMBL2366636	Organism	Ipomoea nil	
CHEMBL2366637	Organism	Cirsium arvense	
CHEMBL2366638	Organism	Euphorbia heterophylla	
CHEMBL2366639	Organism	Meloidogyne javanica	
CHEMBL2366640	Organism	Carnation latent virus	
CHEMBL2366641	Organism	Staphylococcus epidermidis ATCC 12228	
CHEMBL2366642	Organism	Brevicoryne brassicae	
CHEMBL2366643	Organism	Taraxacum officinale	
CHEMBL2366644	Organism	Capsicum annuum	
CHEMBL2366645	Organism	Colletotrichum orbiculare	
CHEMBL2366646	Organism	Fusarium oxysporum f. cubense	
CHEMBL2366647	Organism	Oreochromis	
CHEMBL2366648	Organism	Colletotrichum camelliae	
CHEMBL2366649	Organism	Peregrinus maidis	
CHEMBL2366650	Organism	Cynodon dactylon	
CHEMBL2366651	Organism	Achillea millefolium	
CHEMBL2366652	Organism	Erwinia piriflorinigrans	
CHEMBL2366653	Organism	Geranium molle	
CHEMBL2366654	Organism	Latrodectus Hesperus	
CHEMBL2366655	Organism	Candida azyma	
CHEMBL2366656	Organism	Rhopalosiphum padi	
CHEMBL2366657	Organism	Centaurea cyanus	
CHEMBL2366658	Organism	Eleocharis acicularis	
CHEMBL2366659	Organism	Arion subfuscus	
CHEMBL2366660	Organism	Cyprinidae	
CHEMBL2366661	Organism	Colletotrichum destructivum	
CHEMBL2366662	Organism	Phytophthora parasitica	
CHEMBL2366663	Organism	Chilo suppressalis	
CHEMBL2366664	Organism	Ascia monuste	
CHEMBL2366665	Organism	Gaeumannomyces graminis	
CHEMBL2366666	Organism	Vigna unguiculata	
CHEMBL2366667	Organism	Bromus tectorum	
CHEMBL2366668	Organism	Eretmocerus eremicus	
CHEMBL2366669	Organism	Escherichia coli O157:H7	
CHEMBL2366670	Organism	Pseudocercospora fijiensis	
CHEMBL2366671	Organism	Puccinia graminis f. tritici	
CHEMBL2366672	Organism	Alternaria brassicae	
CHEMBL2366673	Organism	Fusarium decemcellulare	
CHEMBL2366674	Organism	Acanthoscelides obtectus	
CHEMBL2366675	Organism	Tagetes	
CHEMBL2366676	Organism	Streptococcus mutans UA159	
CHEMBL2366677	Organism	Eragrostis cilianensis	
CHEMBL2366678	Organism	Sclerotinia minor	
CHEMBL2366679	Organism	Trifolium alexandrinum	
CHEMBL2366681	Organism	Hanseniaspora vineae	
CHEMBL2366682	Organism	Puccinia allii	
CHEMBL2366683	Organism	Puccinia asparagi	
CHEMBL2366684	Organism	Athalia rosae ruficornis	
CHEMBL2366685	Organism	Olepa ricini	
CHEMBL2366686	Organism	Leishmania	
CHEMBL2366687	Organism	Apolygus lucorum	
CHEMBL2366688	Organism	Tineola bisselliella	
CHEMBL2366689	Organism	Daphnia pulex	
CHEMBL2366690	Organism	Schizophyllum commune	
CHEMBL2366691	Organism	Acari	
CHEMBL2366692	Organism	Clavigralla tomentosicollis	
CHEMBL2366693	Organism	Murdannia keisak	
CHEMBL2366694	Organism	Fusarium oxysporum f. sp. cubense race 4	
CHEMBL2366695	Organism	Contarinia nasturtii	
CHEMBL2366696	Organism	Corchorus olitorius	
CHEMBL2366697	Organism	Liposcelis entomophila	
CHEMBL2366698	Organism	Lactobacillus rhamnosus	
CHEMBL2366699	Organism	Lygaeidae	
CHEMBL2366700	Organism	Arvicola amphibius	
CHEMBL2366701	Organism	Anastrepha striata	
CHEMBL2366702	Organism	Alternaria humicola	
CHEMBL2366703	Organism	Laodelphax striatella	
CHEMBL2366704	Organism	Neofusicoccum australe	
CHEMBL2366705	Organism	Ewingella americana	
CHEMBL2366706	Organism	Alopecurus japonicus	
CHEMBL2366707	Organism	Taphrina deformans	
CHEMBL2366708	Organism	Drosophila suzukii	
CHEMBL2366710	Organism	Empoasca fabae	
CHEMBL2366711	Organism	Pestalotia longiseta	
CHEMBL2366712	Organism	Myosoton aquaticum	
CHEMBL2366713	Organism	Phytophthora katsurae	
CHEMBL2366714	Organism	Sonchus asper	
CHEMBL2366715	Organism	Symphyotrichum subulatum	
CHEMBL2366716	Organism	Coccinella septempunctata brucki	
CHEMBL2366717	Organism	Liriomyza trifolii	
CHEMBL2366718	Organism	Adoxophyes honmai	
CHEMBL2366719	Organism	Hellula undalis	
CHEMBL2366720	Organism	Goatpox virus	
CHEMBL2366721	Organism	Cyperus compressus	
CHEMBL2366722	Organism	Setosphaeria rostrata	
CHEMBL2366723	Organism	Ocimum basilicum	
CHEMBL2366724	Organism	Auxenochlorella protothecoides	
CHEMBL2366725	Organism	Malassezia pachydermatis	
CHEMBL2366726	Organism	Callosobruchus analis	
CHEMBL2366727	Organism	Culex pipiens pallens	
CHEMBL2366728	Organism	Stellaria media	
CHEMBL2366729	Organism	Diptera	
CHEMBL2366730	Organism	Laetiporus sulphureus	
CHEMBL2366731	Organism	Avena sterilis	
CHEMBL2366732	Organism	Boerhavia erecta	
CHEMBL2366733	Organism	Portulaca oleracea	
CHEMBL2366734	Organism	Amaranthus dubius	
CHEMBL2366735	Organism	Rhyzopertha dominica	
CHEMBL2366736	Organism	Rotylenchulus reniformis	
CHEMBL2366737	Organism	Helicoverpa assulta	
CHEMBL2366738	Organism	Daucus carota	
CHEMBL2366739	Organism	Puccinia triticina	
CHEMBL2366740	Organism	Escherichia coli DH5[alpha]	
CHEMBL2366741	Organism	Anticarsia gemmatalis	
CHEMBL2366742	Organism	Fusarium udum	
CHEMBL2366743	Organism	Fusarium oxysporum f. sp. niveum	
CHEMBL2366744	Organism	Trifolium pratense	
CHEMBL2366745	Organism	Sonchus arvensis	
CHEMBL2366746	Organism	Musa acuminata AAA Group	
CHEMBL2366747	Organism	Fomitopsis palustris	
CHEMBL2366748	Organism	Liposcelis bostrychophila	
CHEMBL2366749	Organism	Amaranthus caudatus	
CHEMBL2366750	Organism	Diplodia seriata	
CHEMBL2366751	Organism	Plodia interpunctella	
CHEMBL2366752	Organism	Vicia faba	
CHEMBL2366753	Organism	Dothiorella gregaria	
CHEMBL2366754	Organism	Piptatherum miliaceum	
CHEMBL2366755	Organism	Human herpesvirus 2 strain G	
CHEMBL2366756	Organism	Erwinia pyrifoliae	
CHEMBL2366757	Organism	Commelina communis	
CHEMBL2366758	Organism	Conyza sumatrensis	
CHEMBL2366759	Organism	Pseudomonas syringae pv. phaseolicola	
CHEMBL2366760	Organism	Scytonema hofmanni	
CHEMBL2366761	Organism	Doru	
CHEMBL2366762	Organism	Malva sylvestris	
CHEMBL2366763	Organism	Matricaria	
CHEMBL2366764	Organism	Monographella nivalis var. nivalis	
CHEMBL2366765	Organism	Centaurea maculosa	
CHEMBL2366766	Organism	Tetranychus kanzawai	
CHEMBL2366767	Organism	Elatine triandra	
CHEMBL2366768	Organism	Frankliniella occidentalis	
CHEMBL2366769	Organism	Veronica persica	
CHEMBL2366770	Organism	Dermatophagoides farinae	
CHEMBL2366771	Organism	Vigna angularis	
CHEMBL2366772	Organism	Plasmodiophora brassicae	
CHEMBL2366773	Organism	Phalaris arundinacea	
CHEMBL2366774	Organism	Matricaria chamomilla	
CHEMBL2366775	Organism	Sphaerotheca cucurbitae	
CHEMBL2366776	Organism	Trichothecium roseum	
CHEMBL2366777	Organism	Delphacodes	
CHEMBL2366778	Organism	Pyrenophora tritici-repentis	
CHEMBL2366779	Organism	Festuca rubra	
CHEMBL2366780	Organism	Metaseiulus occidentalis	
CHEMBL2366781	Organism	Trypanosoma lewisi	
CHEMBL2366782	Organism	Solanum melongena	
CHEMBL2366783	Organism	Apera spica-venti	
CHEMBL2366784	Organism	Allium tuberosum	
CHEMBL2366785	Organism	Photorhabdus luminescens	
CHEMBL2366786	Organism	Henosepilachna vigintioctopunctata	
CHEMBL2366787	Organism	Saccharomycodes ludwigii	
CHEMBL2366788	Organism	Rhizoctonia solani AG-1 IA	
CHEMBL2366789	Organism	Diaphorina citri	
CHEMBL2366791	Organism	Planorbella trivolvis	
CHEMBL2366792	Organism	Euproctis fraterna	
CHEMBL2366793	Organism	Mycobacterium smegmatis str. MC2 155	
CHEMBL2366794	Organism	Streptococcus pneumoniae R6	
CHEMBL2366795	Organism	Aphelenchoides besseyi	
CHEMBL2366796	Organism	Cheumatopsyche	
CHEMBL2366797	Organism	Daedalea dickinsii	
CHEMBL2366798	Organism	Micrococcus luteus NCTC 2665	
CHEMBL2366799	Organism	Prosopis farcta	
CHEMBL2366800	Organism	Staphylococcus aureus subsp. aureus	
CHEMBL2366801	Organism	Leptosphaeria biglobosa	
CHEMBL2366802	Organism	Urochloa mutica	
CHEMBL2366803	Organism	Descurainia sophia	
CHEMBL2366804	Organism	Symmetrischema tangolias	
CHEMBL2366805	Organism	Phthorimaea operculella	
CHEMBL2366806	Organism	Paraixeris denticulata	
CHEMBL2366807	Organism	Pestalotiopsis sp.	
CHEMBL2366809	Organism	Helicobasidium mompa	
CHEMBL2366811	Organism	Boehmeria nivea	
CHEMBL2366812	Organism	Agrobacterium tumefaciens str. B6	
CHEMBL2366813	Organism	Curcuma longa	
CHEMBL2366814	Organism	Xanthomonas campestris pv. campestris	
CHEMBL2366815	Organism	Persicaria hydropiper	
CHEMBL2366816	Organism	Trichoderma reesei	
CHEMBL2366817	Organism	Ditylenchus myceliophagus	
CHEMBL2366818	Organism	Calendula officinalis	
CHEMBL2366819	Organism	Monascus purpureus	
CHEMBL2366820	Organism	Sphaerotheca humuli	
CHEMBL2366821	Organism	Isoptera	
CHEMBL2366822	Organism	Mythimna separata	
CHEMBL2366823	Organism	Meloidogyne hapla	
CHEMBL2366824	Organism	Sitophilus oryzae	
CHEMBL2366825	Organism	Pyrenophora teres	
CHEMBL2366826	Organism	Pestalotiopsis microspora	
CHEMBL2366827	Organism	Physalis ixocarpa	
CHEMBL2366828	Organism	Brassica rapa subsp. oleifera	
CHEMBL2366829	Organism	Monochoria vaginalis	
CHEMBL2366830	Organism	Brassica rapa subsp. chinensis	
CHEMBL2366831	Organism	Carnation ringspot virus	
CHEMBL2366832	Organism	Reticulitermes speratus	
CHEMBL2366833	Organism	Eysarcoris	
CHEMBL2366834	Organism	Fusarium graminearum	
CHEMBL2366835	Organism	Elymus repens	
CHEMBL2366836	Organism	Cochliobolus pallescens	
CHEMBL2366837	Organism	Hordeum vulgare	
CHEMBL2366838	Organism	Diplodia mutila	
CHEMBL2366839	Organism	Neofusicoccum luteum	
CHEMBL2366840	Organism	Arenaria serpyllifolia	
CHEMBL2366841	Organism	Capsella bursa-pastoris	
CHEMBL2366842	Organism	Pseudomonas syringae pv. syringae	
CHEMBL2366843	Organism	Pseudomonas syringae pv. lachrymans	
CHEMBL2366844	Organism	Rumex crispus	
CHEMBL2366845	Organism	Lathyrus sativus	
CHEMBL2366846	Organism	Lens culinaris	
CHEMBL2366847	Organism	Escherichia coli ATCC 8739	
CHEMBL2366848	Organism	Phytophthora melonis	
CHEMBL2366849	Organism	Lenzites betulinus	
CHEMBL2366850	Organism	Zoysia matrella	
CHEMBL2366851	Organism	Panonychus citri	
CHEMBL2366852	Organism	Thielaviopsis basicola	
CHEMBL2366853	Organism	Digitaria ciliaris	
CHEMBL2366854	Organism	Tyrophagus putrescentiae	
CHEMBL2366855	Organism	Pieris brassicae	
CHEMBL2366856	Organism	Fusarium oxysporum f. sp. melongenae	
CHEMBL2366857	Organism	Pueraria montana var. lobata	
CHEMBL2366858	Organism	Cucurbita moschata x Cucurbita maxima	
CHEMBL2366859	Organism	Orobanche minor	
CHEMBL2366860	Organism	Bacillus subtilis subsp. subtilis	
CHEMBL2366861	Organism	Hyaloperonospora parasitica	
CHEMBL2366862	Organism	Typhlodromips swirskii	
CHEMBL2366863	Organism	Bactrocera oleae	
CHEMBL2366864	Organism	Poa pratensis subsp. pratensis	
CHEMBL2366865	Organism	Human immunodeficiency virus type 2 (ISOLATE ROD)	
CHEMBL2366866	Organism	Gloeocercospora sorghi	
CHEMBL2366867	Organism	Human herpesvirus 3 strain Oka vaccine	
CHEMBL2366868	Organism	Colletotrichum truncatum	
CHEMBL2366869	Organism	Sclerotium delphinii	
CHEMBL2366870	Organism	Staphylococcus xylosus	
CHEMBL2366871	Organism	Erysiphe necator	
CHEMBL2366872	Organism	Setophoma terrestris	
CHEMBL2366873	Organism	Schoenoplectus acutus	
CHEMBL2366874	Organism	Olea europaea	
CHEMBL2366875	Organism	Puccinia arachidis	
CHEMBL2366876	Organism	Persicaria lapathifolia	
CHEMBL2366877	Organism	Malus x domestica	
CHEMBL2366878	Organism	Anastrepha ludens	
CHEMBL2366879	Organism	Oscillatoria perornata	
CHEMBL2366880	Organism	Brassica rapa subsp. pekinensis	
CHEMBL2366881	Organism	Sagittaria pygmaea	
CHEMBL2366882	Organism	Panonychus ulmi	
CHEMBL2366883	Organism	Eleusine coracana	
CHEMBL2366884	Organism	Microtus arvalis	
CHEMBL2366885	Organism	Streptomyces acidiscabies	
CHEMBL2366886	Organism	Lissorhoptrus oryzophilus	
CHEMBL2366887	Organism	Pratylenchus penetrans	
CHEMBL2366888	Organism	Oculimacula acuformis	
CHEMBL2366889	Organism	Heterodera schachtii	
CHEMBL2366890	Organism	Neoseiulus cucumeris	
CHEMBL2366891	Organism	Chrysoperla carnea	
CHEMBL2366892	Organism	Cotesia glomerata	
CHEMBL2366893	Organism	Discula theae-sinensis	
CHEMBL2366894	Organism	Podosphaera aphanis var. aphanis	
CHEMBL2366895	Organism	Procambarus clarkii	
CHEMBL2366896	Organism	Saprolegnia monoica	
CHEMBL2366897	Organism	Alopecurus	
CHEMBL2366898	Organism	Puccinia graminis f. sp. tritici	
CHEMBL2366899	Organism	Anomala orientalis	
CHEMBL2366900	Organism	Chrysosporium keratinophilum	
CHEMBL2366901	Organism	Agrobacterium sp.	
CHEMBL2366902	Organism	Influenza A virus H3N2	
CHEMBL2366903	Organism	Pseudocercospora musae	
CHEMBL2366904	Organism	Pseudanabaena sp.	
CHEMBL2366905	Organism	Cichorium intybus	
CHEMBL2366906	Organism	Staphylococcus aureus subsp. aureus RN4220	
CHEMBL2366907	Organism	Macrosteles quadripunctulatus	
CHEMBL2366908	Organism	Candida albicans SC5314	
CHEMBL2366909	Organism	Sitobion avenae	
CHEMBL2366910	Organism	Tetragonisca angustula	
CHEMBL2366911	Organism	Plesiomonas	
CHEMBL2366912	Organism	Chrysomelidae	
CHEMBL2366913	Organism	Digitaria	
CHEMBL2366914	Organism	Cleome viscosa	
CHEMBL2366915	Organism	Cyperus	
CHEMBL2366916	Organism	Sesamum indicum	
CHEMBL2366917	Organism	Callosobruchus chinensis	
CHEMBL2366918	Organism	Aphididae	
CHEMBL2366919	Organism	Aphis fabae	
CHEMBL2366920	Organism	Setaria verticillata	
CHEMBL2366921	Organism	Sitophilus zeamais	
CHEMBL2366922	Organism	Plasmodium falciparum 3D7	
CHEMBL2366923	Organism	Monilinia laxa	
CHEMBL2366924	Organism	Convolvulus arvensis	
CHEMBL2366925	Organism	Achaea janata	
CHEMBL2366926	Organism	Gossypium	
CHEMBL2366927	Organism	Trifolium repens	
CHEMBL2366928	Organism	Talinum fruticosum	
CHEMBL2366929	Organism	Ceratocystis paradoxa	
CHEMBL2366930	Organism	Nocardia canis	
CHEMBL2366931	Organism	Trametes versicolor	
CHEMBL2366932	Organism	Lepidium didymum	
CHEMBL2366933	Organism	Podosphaera xanthii	
CHEMBL2366934	Organism	Rosa pendulina	
CHEMBL2366935	Organism	Carnation mottle virus	
CHEMBL2366936	Organism	Pseudoperonospora cubensis	
CHEMBL2366937	Organism	Diaporthe citri	
CHEMBL2366938	Organism	Macrophoma	
CHEMBL2366939	Organism	Conyza bonariensis	
CHEMBL2366940	Organism	Zymoseptoria tritici	
CHEMBL2366941	Organism	Zingiber officinale	
CHEMBL2366942	Organism	Colletotrichum acutatum	
